2019-12-08T14:00:45.000Z, Authentication Failure, User438
2019-12-08T14:35:38.000Z, Login, User267
2019-12-08T14:36:52.000Z, Login, User342
2019-12-08T14:39:37.000Z, Process Start, User342
2019-12-08T14:41:35.000Z, Logout, User267
2019-12-08T14:44:15.000Z, Logout, User342
2019-12-08T15:24:18.000Z, Login, User438
2019-12-08T15:24:47.000Z, Process Start, User438
2019-12-08T15:29:11.000Z, Login, User361
2019-12-08T15:29:38.000Z, Logout, User438
2019-12-08T15:34:22.000Z, Logout, User361
2019-12-08T15:43:11.000Z, Login, User361
2019-12-08T15:46:18.000Z, Process Start, User361
2019-12-08T15:50:22.000Z, Logout, User361
2019-12-08T16:21:59.000Z, Login, User285
2019-12-08T16:22:42.000Z, Logout, User285
2019-12-08T16:30:02.000Z, Login, User285
2019-12-08T16:30:12.000Z, Logout, User285
2019-12-08T17:21:47.000Z, Login, User325
2019-12-08T17:23:03.000Z, Process Start, User325
2019-12-08T17:31:03.000Z, Process Start, User325
2019-12-08T17:33:24.000Z, Process Start, User325
2019-12-08T17:39:18.000Z, Process Start, User325
2019-12-08T17:43:22.000Z, Process Start, User325
2019-12-08T17:48:09.000Z, Process Start, User325
2019-12-08T17:51:05.000Z, Logout, User325
2019-12-08T18:14:21.000Z, Login, User325
2019-12-08T18:15:49.000Z, Process Start, User325
2019-12-08T18:17:06.000Z, Process Start, User325
2019-12-08T18:18:38.000Z, Login, User153
2019-12-08T18:18:55.000Z, Process Start, User325
2019-12-08T18:18:56.000Z, Process Start, User325
2019-12-08T18:19:39.000Z, Logout, User153
2019-12-08T18:20:15.000Z, Process Start, User325
2019-12-08T18:23:44.000Z, Logout, User325
2019-12-08T18:50:41.000Z, Login, User285
2019-12-08T18:52:01.000Z, Logout, User285
2019-12-08T18:52:21.000Z, Login, User438
2019-12-08T18:54:11.000Z, Process Start, User438
2019-12-08T18:59:38.000Z, Process Start, User438
2019-12-08T19:01:17.000Z, Logout, User438
2019-12-08T21:35:02.000Z, Login, User325
2019-12-08T21:35:20.000Z, Logout, User325
2019-12-08T22:03:02.000Z, Authentication Failure, User285
2019-12-08T23:08:16.000Z, Login, User285
2019-12-08T23:12:27.000Z, Logout, User285
2019-12-09T01:35:36.000Z, Login, User325
2019-12-09T01:36:30.000Z, Process Start, User325
2019-12-09T01:38:00.000Z, Process Start, User325
2019-12-09T01:40:02.000Z, Process Start, User325
2019-12-09T01:44:23.000Z, Process Start, User325
2019-12-09T01:49:33.000Z, Logout, User325
2019-12-09T03:48:19.000Z, Login, User176
2019-12-09T03:53:47.000Z, Logout, User176
2019-12-09T04:12:03.000Z, Login, User176
2019-12-09T04:12:29.000Z, Process Start, User176
2019-12-09T04:14:57.000Z, Process Start, User176
2019-12-09T04:15:17.000Z, Process Start, User176
2019-12-09T04:16:34.000Z, Logout, User176
2019-12-09T04:48:08.000Z, Login, User66
2019-12-09T04:48:59.000Z, Logout, User66
2019-12-09T07:40:29.000Z, Login, User399
2019-12-09T07:40:56.000Z, Authentication Failure, User78
2019-12-09T07:41:14.000Z, Logout, User399
2019-12-09T07:42:59.000Z, Login, User355
2019-12-09T07:44:35.000Z, Logout, User355
2019-12-09T07:52:26.000Z, Login, User172
2019-12-09T07:53:47.000Z, Login, User89
2019-12-09T07:54:48.000Z, Login, User78
2019-12-09T07:56:01.000Z, Login, User218
2019-12-09T07:56:08.000Z, Logout, User89
2019-12-09T07:56:27.000Z, Logout, User172
2019-12-09T07:56:38.000Z, Process Start, User78
2019-12-09T07:56:40.000Z, Login, User45
2019-12-09T07:56:44.000Z, Login, User433
2019-12-09T07:57:03.000Z, Logout, User45
2019-12-09T07:57:58.000Z, Process Start, User433
2019-12-09T07:59:18.000Z, Logout, User433
2019-12-09T07:59:19.000Z, Login, User462
2019-12-09T07:59:54.000Z, Login, User416
2019-12-09T08:00:48.000Z, Login, User183
2019-12-09T08:01:33.000Z, Process Start, User218
2019-12-09T08:01:41.000Z, Logout, User218
2019-12-09T08:01:56.000Z, Logout, User416
2019-12-09T08:02:01.000Z, Logout, User183
2019-12-09T08:02:16.000Z, Logout, User462
2019-12-09T08:03:05.000Z, Login, User102
2019-12-09T08:03:50.000Z, Process Start, User102
2019-12-09T08:04:40.000Z, Login, User467
2019-12-09T08:05:58.000Z, Process Start, User102
2019-12-09T08:06:24.000Z, Logout, User467
2019-12-09T08:07:14.000Z, Login, User57
2019-12-09T08:07:32.000Z, Logout, User57
2019-12-09T08:07:32.000Z, Login, User232
2019-12-09T08:07:48.000Z, Process Start, User232
2019-12-09T08:08:28.000Z, Process Start, User232
2019-12-09T08:08:49.000Z, Process Start, User232
2019-12-09T08:08:53.000Z, Logout, User232
2019-12-09T08:10:22.000Z, Process Start, User102
2019-12-09T08:11:21.000Z, Login, User17
2019-12-09T08:11:49.000Z, Login, User182
2019-12-09T08:12:16.000Z, Process Start, User102
2019-12-09T08:12:22.000Z, Authentication Failure, User76
2019-12-09T08:12:25.000Z, Login, User462
2019-12-09T08:12:32.000Z, Logout, User17
2019-12-09T08:12:45.000Z, Logout, User182
2019-12-09T08:13:14.000Z, Logout, User78
2019-12-09T08:13:36.000Z, Process Start, User102
2019-12-09T08:15:43.000Z, Logout, User102
2019-12-09T08:16:54.000Z, Login, User456
2019-12-09T08:16:59.000Z, Logout, User456
2019-12-09T08:17:06.000Z, Login, User183
2019-12-09T08:17:33.000Z, Login, User453
2019-12-09T08:18:54.000Z, Login, User262
2019-12-09T08:19:00.000Z, Logout, User453
2019-12-09T08:19:19.000Z, Login, User127
2019-12-09T08:19:33.000Z, Logout, User462
2019-12-09T08:19:47.000Z, Login, User20
2019-12-09T08:20:42.000Z, Login, User317
2019-12-09T08:20:48.000Z, Login, User496
2019-12-09T08:21:02.000Z, Logout, User262
2019-12-09T08:22:49.000Z, Logout, User496
2019-12-09T08:23:27.000Z, Login, User464
